Accesion 	Hits	Gene.name
P02647	45	APOA1_HUMAN
P06727	45	APOA4_HUMAN
O14791	45	APOL1_HUMAN
P02656	44	APOC3_HUMAN
P02649	44	APOE_HUMAN
P02652	43	APOA2_HUMAN
P02654	43	APOC1_HUMAN
P01009	42	A1AT_HUMAN
P02655	42	APOC2_HUMAN
O95445	42	APOM_HUMAN
P27169	42	PON1_HUMAN
P02765	40	FETUA_HUMAN
P10909	40	CLUS_HUMAN
P35542	40	SAA4_HUMAN
P04114	39	APOB_HUMAN
P01024	39	CO3_HUMAN
P0DJI8/P0DJI9	39	SAA1/SAA2_HUMAN
P02768	38	ALBU_HUMAN
P05090	37	APOD_HUMAN
P00739	37	HPTR_HUMAN
P02787	37	TRFE_HUMAN
P02766	37	TTHY_HUMAN
Q13790	35	APOF_HUMAN
P02671	35	FIBA_HUMAN
P02774	34	VTDB_HUMAN
P02749	33	APOH_HUMAN
P02760	33	AMBP_HUMAN
P00738	32	HPT_HUMAN
P04004	32	VTNC_HUMAN
P55058	31	PLTP_HUMAN
P01019	30	ANGT_HUMAN
P0C0L5	30	CO4B_HUMAN
Q14624	29	ITIH4_HUMAN
P55056	28	APOC4_HUMAN
P68871	28	HBB_HUMAN
P02790	28	HEMO_HUMAN
P01876	28	IGHA1_HUMAN
P01834	28	IGKC_HUMAN
P01023	27	A2MG_HUMAN
P08519	27	LPA_HUMAN
P69905	27	HBA_HUMAN
P00734	27	THRB_HUMAN
P0C0L4	26	CO4A_HUMAN
P02748	26	CO9_HUMAN
P01042	26	KNG1_HUMAN
P02753	26	RET4_HUMAN
Q15166	26	PON3_HUMAN
P19652	25	ORM2_HUMAN
P01011	25	AACT_HUMAN
P04217	25	A1BG_HUMAN
P08697	24	A2AP_HUMAN
P01008	24	ANT3_HUMAN
P02675	24	FIBB_HUMAN
P04180	24	LCAT_HUMAN
P05155	24	IC1_HUMAN
P01857	23	IGHG1_HUMAN
Q9UHG3	23	PCYOX_HUMAN
P80108	22	PHLD_HUMAN
P02679	21	FIBG_HUMAN
P05546	21	HEP2_HUMAN
P01871	21	IGHM_HUMAN
P19823	21	ITIH2_HUMAN
P36955	21	PEDF_HUMAN
P02763	20	ORM1_HUMAN
P04003	20	C4BPA_HUMAN
P02775	20	CXCL7_HUMAN
P11597	19	CETP_HUMAN
P06396	19	GELS_HUMAN
P01859	19	IGHG2_HUMAN
P08603	18	CFAH_HUMAN
P02751	18	FINC_HUMAN
P19827	18	ITIH1_HUMAN
P00747	18	PLMN_HUMAN
P00751	17	CFAB_HUMAN
P04196	17	HRG_HUMAN
P18428	17	LBP_HUMAN
P02276	17	PLF4_HUMAN
P07988	17	PSPB_HUMAN
P43652	16	AFAM_HUMAN
P00450	16	CERU_HUMAN
P61769	15	B2MG_HUMAN
P49913	15	CAMP_HUMAN
P09871	15	C1S_HUMAN
P03952	14	KLKB1_HUMAN
P25311	14	ZA2G_HUMAN
P60709	13	ACTB_HUMAN
P58335	13	ANTXR2_HUMAN
P29622	13	KAIN_HUMAN
Q96PD5	13	PGRP2_HUMAN
Q96KN2	12	CNDP1_HUMAN
P00736	12	C1R_HUMAN
P81605	12	DCD_HUMAN
P01860	12	IGHG3_HUMAN
P0DOY2	12	IGLC2_HUMAN
P01619	12	KV330_HUMAN
P01877	11	IGHA2_HUMAN
Q14623	11	IHH_HUMAN
P35858	11	ALS_HUMAN
P51884	11	LUM_HUMAN
Q9UK55	11	ZPI_HUMAN
Q9H6X2	10	ANTXR1_HUMAN
Q8TDL5	10	BPIFB1_HUMAN
P02746	10	C1QB_HUMAN
P01034	10	CYTC_HUMAN
P80748	10	LV302_HUMAN
P01591	10	IGJ_HUMAN
B9A064	10	IGLL5_HUMAN
P02750	10	A2GL_HUMAN
P14151	10	LYAM1_HUMAN
P05452	10	TETN_HUMAN
P07225	10	PROS_HUMAN
P02747	9	C1QC_HUMAN
P01861	9	IGHG4_HUMAN
P0CG04	9	IGLC1_HUMAN
Q9H8L6	9	MMRN2_HUMAN
P20742	9	PZP_HUMAN
P07737	9	PROF1_HUMAN
Q9BUN1	9	MENT_HUMAN
P02743	9	SAMP_HUMAN
P15144	8	ANPEP_HUMAN
Q6Q788	8	APOA5_HUMAN
P15169	8	CBPN_HUMAN
O43866	8	CD5L_HUMAN
P12259	8	FA5_HUMAN
P00748	8	FA12_HUMAN
P06681	8	CO2_HUMAN
P01031	8	CO5_HUMAN
P07358	8	CO8B_HUMAN
P05156	8	CFAI_HUMAN
P15924	8	DESP_HUMAN
P21333	8	FLNA_HUMAN
P08514	8	ITA2B_HUMAN
P05556	8	ITB1_HUMAN
P61626	8	LYSC_HUMAN
P07602	8	SAP_HUMAN
Q96IY4	7	CBPB2_HUMAN
P07357	7	CO8A_HUMAN
P00746	7	CFAD_HUMAN
P05534	7	HLAA_HUMAN
P06312	7	KV401_HUMAN
Q13093	7	PAFA_HUMAN
Q8NBP7	7	PCSK9_HUMAN
P49908	7	SEPP1_HUMAN
Q9Y490	7	TLN1_HUMAN
P07996	7	TSP1_HUMAN
P02730	6	B3AT_HUMAN
P23280	6	CA6_HUMAN
P16070	6	CD44_HUMAN
P07360	6	CO8G_HUMAN
P23142	6	FBLN1_HUMAN
O75636	6	FCN3_HUMAN
Q08380	6	LG3BP_HUMAN
P04433	6	KV309_HUMAN
P17301	6	ITA2_HUMAN
P05106	6	ITB3_HUMAN
Q06033	6	ITIH3_HUMAN
P13645	6	K1C10_HUMAN
P04264	6	K2C1_HUMAN
P67936	6	TPM4_HUMAN
Q12907	6	LMAN2_HUMAN
P62736	5	ACTA_HUMAN
P14209	5	CD99_HUMAN
P00742	5	FA10_HUMAN
Q03591	5	FHR1_HUMAN
P08185	5	CBG_HUMAN
Q08554	5	DSC1_HUMAN
Q02413	5	DSGl_HUMAN
Q16610	5	ECM1_HUMAN
Q9BYJ0	5	FGFP2_HUMAN
P04406	5	G3P_HUMAN
Q14520	5	HABP2_HUMAN
Q9Y6R7	5	FCGBP_HUMAN
P01700	5	LV147_HUMAN
Q9NX62	5	IMPA3_HUMAN
P14923	5	PLAK_HUMAN
P35527	5	K1C9_HUMAN
P35908	5	K22E_HUMAN
Q13477	5	MADCA_HUMAN
P12273	5	PIP_HUMAN
Q96QR1	5	SG3A1_HUMAN
Q15465	5	SHH_HUMAN
P07477	5	TRY1_HUMAN
P18206	5	VINC_HUMAN
P04275	5	VWF_HUMAN
P63104	4	YWHAZ_HUMAN
P00915	4	CAH1_HUMAN
P00740	4	FA9_HUMAN
P03951	4	FA11_HUMAN
P05160	4	F13B_HUMAN
P02745	4	C1QA_HUMAN
P13671	4	CO6_HUMAN
P10643	4	CO7_HUMAN
Q9BXR6	4	FHR5_HUMAN
Q9HCU0	4	CD248_HUMAN
P27105	4	STOM_HUMAN
Q86UX7	4	URP2_HUMAN
P02724	4	GLPA_HUMAN
Q9NR31	4	SAR1A_HUMAN
P01889	4	HLAB_HUMAN
P01765	4	HV323_HUMAN
A0M8Q6	4	IGLC7_HUMAN
P01777	4	HV323_HUMAN
P01344	4	IGF2_HUMAN
P02538	4	K2C6A_HUMAN
P48740	4	MASP1_HUMAN
P59665	4	DEF1_HUMAN
P32119	4	PRDX2_HUMAN
P43034	4	LIS1_HUMAN
Q6UX71	4	PXDC2_HUMAN
P41222	4	PTGDS_HUMAN
P31151	4	S10A7_HUMAN
P06702	4	S10A9_HUMAN
P61224	4	RAP1B_HUMAN
P62328	4	TYB4_HUMAN
P05543	4	THBG_HUMAN
P10646	4	TFPI1_HUMAN
P12814	3	ACTN1_HUMAN
Q9Y5C1	3	ANGL3_HUMAN
P04083	3	ANXA1_HUMAN
P20851	3	C4BPB_HUMAN
P23528	3	COF1_HUMAN
Q9NZP8	3	C1RL_HUMAN
P36980	3	FHR2_HUMAN
Q12805	3	FBLN3_HUMAN
P68104	3	EF1A1_HUMAN
Q9UNN8	3	EPCR_HUMAN
Q01469	3	FABP5_HUMAN
Q15485	3	FCN2_HUMAN
Q5D862	3	FILA2_HUMAN
Q86YZ3	3	HORN_HUMAN
P01880	3	IGHD_HUMAN
P01593	3	KVD33_HUMAN
P01602	3	KV105_HUMAN
A0N5S9	3	A0N5S9_HUMAN
P01766	3	HV313_HUMAN
A0A0C4DH32	3	HV320_HUMAN
P01597	3	KV139_HUMAN
P55103	3	INHBC_HUMAN
P05107	3	ITB2_HUMAN
P02533	3	K1C14_HUMAN
P08779	3	K1C16_HUMAN
Q7Z794	3	K2C1B_HUMAN
P13647	3	K2C5_HUMAN
Q5T749	3	KPRP_HUMAN
Q5DSM0	3	TRFL_HUMAN
P31025	3	LCN1_HUMAN
P00338	3	LDHA_HUMAN
P26038	3	MOES_HUMAN
P35579	3	MYH9_HUMAN
Q06830	3	PRDX1_HUMAN
Q13835	3	PKP1_HUMAN
P05154	3	IPSP_HUMAN
P14770	3	GPIX_HUMAN
Q8N128	3	F177A_HUMAN
Q92954	3	PRG4_HUMAN
Q96PL1	3	SG3A2_HUMAN
Q86U17	3	SPA11_HUMAN
Q9BX66	3	SRBS1_HUMAN
Q7Z4R8	3	CF120_HUMAN
P49406	2	RM19_HUMAN
P10809	2	CH60_HUMAN
P63261	2	ACTG1_HUMAN
Q86SQ4	2	GP126_HUMAN
P61204	2	ARF3_HUMAN
Q5JQC9	2	AKAP4_HUMAN
O43707	2	ACTN4_HUMAN
P04745	2	AMY1A_HUMAN
P06733	2	ENOA_HUMAN
P07355	2	ANXA2_HUMAN
Q16609	2	LPAL2_HUMAN
P06576	2	ATPB_HUMAN
Q8NE71	2	ABCF1_HUMAN
P33151	2	CADH5_HUMAN
P27824	2	CALX_HUMAN
P13688	2	CEAM1_HUMAN
P31944	2	CASPE_HUMAN
Q9NNX6	2	CD209_HUMAN
P21926	2	CD9_HUMAN
P60953	2	CDC42_HUMAN
P00488	2	F13A_HUMAN
P39060	2	COIA1_HUMAN
Q92496	2	FHR4_HUMAN
P04080	2	CYTB
A8MQ27	2	NEU1B_HUMAN
P11021	2	BIP_HUMAN
O75955	2	FLOT1_HUMAN
P09681	2	GIP_HUMAN
P14136	2	GFAP_HUMAN
P36269	2	GGT5_HUMAN
P11142	2	HSP7C_HUMAN
P04792	2	HSPB1_HUMAN
P07900	2	HS90A_HUMAN
Q04756	2	HGFA_HUMAN
Q29946	2	Q29946_HUMAN
A0A0C4DH29	2	HV103_HUMAN
P01615	2	KV204_HUMAN
P01701	2	LV151_HUMAN
P01717	2	LV325_HUMAN
P0DOY3	2	IGLC3_HUMAN
Q0ZCH4	2	Q0ZCH4_HUMAN
P23083	2	HV102_HUMAN
P01743	2	HV146_HUMAN
P01768	2	HV330_HUMAN
P01780	2	HV307_HUMAN
P06331	2	HV434_HUMAN
P01825	2	HV459_HUMAN
P06310	2	KV230_HUMAN
P01624	2	KV315_HUMAN
Q14974	2	IMB1_HUMAN
P05019	2	IGF1_HUMAN
P08833	2	IBP1_HUMAN
Q01101	2	INSM1_HUMAN
P23229	2	ITA6_HUMAN
P13646	2	K1C13_HUMAN
Q04695	2	K1C17_HUMAN
P04259	2	K2C6B_HUMAN
Q8N1N4	2	K2C78_HUMAN
P60985	2	KTDAP_HUMAN
P21583	2	SCF_HUMAN
P16150	2	LEUK_HUMAN
P07195	2	LDHB_HUMAN
P62937	2	PPIA_HUMAN
O60240	2	PLIN1_HUMAN
P30041	2	PRDX6_HUMAN
P16671	2	CD36_HUMAN
P13224	2	GP1BB_HUMAN
Q9HAU0	2	PKHA5_HUMAN
Q15149	2	PLEC_HUMAN
Q8IUK5	2	PLDX1_HUMAN
O00592	2	PODXL_HUMAN
P0CG47	2	UBB_HUMAN
Q7Z5M8	2	AB12B_HUMAN
O60610	2	DIAP1_HUMAN
P07237	2	PDIA1_HUMAN
P30101	2	PDIA3_HUMAN
Q15084	2	PDIA6_HUMAN
P05109	2	S10A8_HUMAN
P05109	2	S10A8_HUMAN
P14618	2	KPYM_HUMAN
A6NMY6	2	AXA2L_HUMAN
Q8NHM4	2	TRY6_HUMAN
P61026	2	RAB10_HUMAN
Q15907	2	RB11B_HUMAN
P62820	2	RAB1A_HUMAN
Q59EK9	2	RUN3A_HUMAN
Q15413	2	RYR3_HUMAN
P29508	2	SPB3_HUMAN
I3L1J1	2	I3L1J1_HUMAN
Q9H299	2	SH3L3_HUMAN
Q5T750	2	XP32_HUMAN
P11169	2	GTR3_HUMAN
O75533	2	SF3B1_HUMAN
P02808	2	STAT_HUMAN
O00391	2	QSOX1_HUMAN
P82094	2	TMF1_HUMAN
P10599	2	THIO_HUMAN
Q8WZ42	2	TITIN_HUMAN
Q01995	2	TAGL_HUMAN
P37802	2	TAGL2_HUMAN
P60174	2	TPIS_HUMAN
P35030	2	TRY3_HUMAN
P68366	2	TBA4A_HUMAN
P07437	2	TBB5_HUMAN
Q9H4B7	2	TBB1_HUMAN
P04350	2	TBB4A_HUMAN
P41240	2	CSK_HUMAN
P62987	2	RL40_HUMAN
P19320	2	VCAM1_HUMAN
P04070	2	PROC_HUMAN
Q15942	2	ZYX_HUMAN
P31946	1	1433B_HUMAN
P62258	1	1433E_HUMAN
Q04917	1	1433F_HUMAN
P61981	1	1433G_HUMAN
P27348	1	1433T_HUMAN
Q13200	1	PSMD2_HUMAN
O43242	1	PSMD3_HUMAN
P46782	1	RS5_HUMAN
P62081	1	RS7_HUMAN
P13196	1	HEM1_HUMAN
P62829	1	RL23_HUMAN
P39023	1	RL3_HUMAN
P52209	1	6PGD_HUMAN
P08253	1	MMP2_HUMAN
Q8TE57	1	ATS16_HUMAN
P68032	1	ACTC_HUMAN
P63267	1	ACTH_HUMAN
O15145	1	ARPC3_HUMAN
P59998	1	ARPC4_HUMAN
P61158	1	ARP3_HUMAN
O95433	1	AHSA1_HUMAN
P07108	1	ACBP_HUMAN
Q8WXI4	1	ACO11_HUMAN
Q01518	1	CAP1_HUMAN
O60242	1	AGRB3_HUMAN
Q86SQ4	1	AGRG6_HUMAN
P05141	1	ADT2_HUMAN
P61163	1	ACTZ_HUMAN
P37840	1	SYUA_HUMAN
Q02410	1	APBA1_HUMAN
P03950	1	ANGI_HUMAN
P12821	1	ACE_HUMAN
C9JTQ0	1	ANR63_HUMAN
A2NYQ9	1	A2NYQ9_HUMAN
P63010	1	AP2B1_HUMAN
Q0VD83	1	APOBR_HUMAN
Q9BQE5	1	APOL2_HUMAN
Q07812	1	BAX_HUMAN
P05089	1	ARGI1_HUMAN
P25705	1	ATPA_HUMAN
Q9ULI0	1	ATD2B_HUMAN
Q9NP78	1	ABCB9_HUMAN
Q09428	1	ABCC8_HUMAN
Q9NVP1	1	DDX18_HUMAN
Q96TA2	1	YMEL1_HUMAN
P29374	1	ARI4A_HUMAN
O75882	1	ATRN_HUMAN
O75143	1	ATG13_HUMAN
Q9HCS5	1	E41LA_HUMAN
Q9BXK5	1	B2L13_HUMAN
Q562R1	1	ACTBL_HUMAN
Q4L235	1	ACSF4_HUMAN
Q9HBI1	1	PARVB_HUMAN
Q8N3L3	1	TXLNB_HUMAN
P52848	1	NDST1_HUMAN
Q13867	1	BLMH_HUMAN
Q9NP55	1	BPIA1_HUMAN
Q8N4F0	1	BPIB2_HUMAN
P80723	1	BASP1_HUMAN
O95258	1	UCP5_HUMAN
A0M8Q9	1	A0M8Q9_HUMAN
F5GXS0	1	F5GXS0_HUMAN
P12830	1	CADH1_HUMAN
Q9HBT6	1	CAD20_HUMAN
P0DP23	1	CALM1_HUMAN
Q9NZT1	1	CALL5_HUMAN
P04632	1	CPNS1_HUMAN
P07384	1	CAN1_HUMAN
P27797	1	CALR_HUMAN
Q08493	1	PDE4C_HUMAN
P00918	1	CAH2_HUMAN
Q9NQ79	1	CRAC1_HUMAN
O75339	1	CILP1_HUMAN
P04040	1	CATA_HUMAN
P26232	1	CTNA2_HUMAN
P07339	1	CATD_HUMAN
O95810	1	CAVN2_HUMAN
P13987	1	CD59_HUMAN
Q8TCZ2	1	C99L2_HUMAN
Q15642	1	CIP4_HUMAN
E5RHH8	1	E5RHH8_HUMAN
Q9UHD4	1	CIDEB_HUMAN
Q99741	1	CDC6_HUMAN
Q8WUJ3	1	CEMIP_HUMAN
Q8N8E3	1	CE112_HUMAN
I3L4M5	1	I3L4M5_HUMAN
O15078	1	CE290_HUMAN
Q01850	1	CDR2_HUMAN
O00299	1	CLIC1_HUMAN
O14646	1	CHD1_HUMAN
P10645	1	CMGA_HUMAN
Q96G28	1	CFA36_HUMAN
Q9P2M7	1	CING_HUMAN
Q9ULV3	1	CIZ1_HUMAN
Q96DZ9	1	CKLF5_HUMAN
Q16630	1	CPSF6_HUMAN
P01764	1	HV318_HUMAN
O75153	1	CLU_HUMAN
Q11203	1	SIAT6_HUMAN
P08709	1	FA7_HUMAN
